"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"omniager_centenarian_coef","Aging omic biomarker predictor coefficients for omniager_centenarian_coef","3.22",NA,"CSV","https://doi.org/10.1007/s11357-023-00731-7","2023","Homo sapiens","9606",TRUE,"Dec E et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_centenarian_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_chip_cpg","Aging omic biomarker predictor coefficients for omniager_chip_cpg","3.22",NA,"XLS/XLSX","https://doi.org/10.1038/s41467-025-59333-w","2025","Homo sapiens","9606",TRUE,"Kirmani S et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_chip_cpg.rds","OmniAgeR:Methylation:SurrogateBiomarker"
"omniager_coeff_smk_idx","Aging omic biomarker predictor coefficients for omniager_coeff_smk_idx","3.22",NA,"TXT","https://doi.org/10.1001/jamaoncol.2015.1053","2015","Homo sapiens","9606",TRUE,"Teschendorff AE et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","numeric","Rds","https://zenodo.org/records/18832408/files/","omniager_coeff_smk_idx.rds","OmniAgeR:Methylation:RiskModel:Biomarker"
"omniager_cortical_clock_coef","Aging omic biomarker predictor coefficients for omniager_cortical_clock_coef","3.22",NA,"TXT","https://github.com/gemmashireby/CorticalClock/tree/master/PredCorticalAge","2020","Homo sapiens","9606",TRUE,"Shireby GL et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_cortical_clock_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_crp_cpg","Aging omic biomarker predictor coefficients for omniager_crp_cpg","3.22",NA,"CSV","https://doi.org/10.6084/m9.figshare.19188674.v1","2022","Homo sapiens","9606",TRUE,"Wielscher M et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_crp_cpg.rds","OmniAgeR:Methylation:SurrogateBiomarker"
"omniager_cts_clocks_coef","Aging omic biomarker predictor coefficients for omniager_cts_clocks_coef","3.22",NA,"RData","https://github.com/HGT-UwU/CTSclocks","2024","Homo sapiens","9606",TRUE,"Tong H et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_cts_clocks_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_cts_example_data_liver","Aging omic biomarker predictor coefficients for omniager_cts_example_data_liver","3.22",NA,"RData","https://github.com/HGT-UwU/CTSclocks/tree/main","2024","Homo sapiens","9606",TRUE,"Tong H et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_cts_example_data_liver.rds","OmniAgeR:Epigenetics:ExampleData"
"omniager_cts_murphy_gse88890","Aging omic biomarker predictor coefficients for omniager_cts_murphy_gse88890","3.22",NA,"RData","https://github.com/HGT-UwU/CTSclocks/tree/main","2024","Homo sapiens","9606",TRUE,"Tong H et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_cts_murphy_gse88890.rds","OmniAgeR:Epigenetics:ExampleData"
"omniager_cts_pai_gse112179","Aging omic biomarker predictor coefficients for omniager_cts_pai_gse112179","3.22",NA,"RData","https://github.com/HGT-UwU/CTSclocks/tree/main","2024","Homo sapiens","9606",TRUE,"Tong H et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_cts_pai_gse112179.rds","OmniAgeR:Epigenetics:ExampleData"
"omniager_cvfit_c46","Aging omic biomarker predictor coefficients for omniager_cvfit_c46","3.22",NA,"RData","https://github.com/jsalignon/pasta","2025","Homo sapiens","9606",TRUE,"Salignon J et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","cv.glmnet","Rds","https://zenodo.org/records/18832408/files/","omniager_cvfit_c46.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_cvfit_pasta","Aging omic biomarker predictor coefficients for omniager_cvfit_pasta","3.22",NA,"RData","https://github.com/jsalignon/pasta","2025","Homo sapiens","9606",TRUE,"Salignon J et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","cv.glmnet","Rds","https://zenodo.org/records/18832408/files/","omniager_cvfit_pasta.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_cvfit_reg","Aging omic biomarker predictor coefficients for omniager_cvfit_reg","3.22",NA,"RData","https://github.com/jsalignon/pasta","2025","Homo sapiens","9606",TRUE,"Salignon J et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","cv.glmnet","Rds","https://zenodo.org/records/18832408/files/","omniager_cvfit_reg.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_dnam_ctf_model","Aging omic biomarker predictor coefficients for omniager_dnam_ctf_model","3.22",NA,"RDS","https://github.com/Duzhaozhen/OmniAge","2025","Homo sapiens","9606",TRUE,"Du Zhaozhen","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","randomForest","Rds","https://zenodo.org/records/18832408/files/","omniager_dnam_ctf_model.rds","OmniAgeR:Epigenetics:ExampleData"
"omniager_dnamfitage_coef","Aging omic biomarker predictor coefficients for omniager_dnamfitage_coef","3.22",NA,"RDA","https://github.com/kristenmcgreevy/DNAmFitAge","2023","Homo sapiens","9606",TRUE,"McGreevy KM et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_dnamfitage_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_dnamtl_coef","Aging omic biomarker predictor coefficients for omniager_dnamtl_coef","3.22",NA,"XLS/XLSX","https://doi.org/10.18632/aging.102173","2019","Homo sapiens","9606",TRUE,"Lu AT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_dnamtl_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_dunedinpace_model","Aging omic biomarker predictor coefficients for omniager_dunedinpace_model","3.22",NA,"RDA","https://github.com/danbelsky/DunedinPACE","2022","Homo sapiens","9606",TRUE,"Belsky DW et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_dunedinpace_model.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_eabec_coef","Aging omic biomarker predictor coefficients for omniager_eabec_coef","3.22",NA,"CSV","https://doi.org/10.1186/s12864-020-07168-8","2020","Homo sapiens","9606",TRUE,"Lee Y et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_eabec_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_ensembleage_coef","Aging omic biomarker predictor coefficients for omniager_ensembleage_coef","3.22",NA,"XLS/XLSX","https://doi.org/10.1007/s11357-025-01808-1","2025","Mammalia",NA,TRUE,"Haghani A. et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_ensembleage_coef.rds","OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker"
"omniager_epic_ga_coef","Aging omic biomarker predictor coefficients for omniager_epic_ga_coef","3.22",NA,"XLS/XLSX","https://doi.org/10.1186/s13148-021-01055-z","2021","Homo sapiens","9606",TRUE,"Haftorn KL et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_epic_ga_coef.rds","OmniAgeR:Methylation:GestationalAge:Biomarker"
"omniager_epicmit_model","Aging omic biomarker predictor coefficients for omniager_epicmit_model","3.22",NA,"RData","https://github.com/aet21/EpiMitClocks","2020","Homo sapiens","9606",TRUE,"Duran-Ferrer M et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_epicmit_model.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_episcores_coef","Aging omic biomarker predictor coefficients for omniager_episcores_coef","3.22",NA,"CSV","https://zenodo.org/records/7154750","2022","Homo sapiens","9606",TRUE,"Gadd DA et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_episcores_coef.rds","OmniAgeR:Methylation:SurrogateBiomarker"
"omniager_epitoc1_model","Aging omic biomarker predictor coefficients for omniager_epitoc1_model","3.22",NA,"RData","https://github.com/aet21/EpiMitClocks","2016","Homo sapiens","9606",TRUE,"Yang Z et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","character","Rds","https://zenodo.org/records/18832408/files/","omniager_epitoc1_model.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_epitoc2_model","Aging omic biomarker predictor coefficients for omniager_epitoc2_model","3.22",NA,"RData","https://github.com/aet21/EpiMitClocks","2020","Homo sapiens","9606",TRUE,"Teschendorff AE.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","matrix","Rds","https://zenodo.org/records/18832408/files/","omniager_epitoc2_model.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_epitoc3_model","Aging omic biomarker predictor coefficients for omniager_epitoc3_model","3.22",NA,"RData","https://github.com/aet21/EpiMitClocks","2023","Homo sapiens","9606",TRUE,"Teschendorff AE.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","matrix","Rds","https://zenodo.org/records/18832408/files/","omniager_epitoc3_model.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_ga_example","Aging omic biomarker predictor coefficients for omniager_ga_example","3.22",NA,"CSV","https://github.com/akknight/PredictGestationalAge","2016","Homo sapiens","9606",TRUE,"Knight AK et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_ga_example.rds","OmniAgeR:Epigenetics:ExampleData"
"omniager_garagnani_coef","Aging omic biomarker predictor coefficients for omniager_garagnani_coef","3.22",NA,"TXT","https://doi.org/10.1111/acel.12005","2012","Homo sapiens","9606",TRUE,"Garagnani, P et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_garagnani_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_grimage1_model","Aging omic biomarker predictor coefficients for omniager_grimage1_model","3.22",NA,"CSV","https://github.com/bio-learn/biolearn/tree/master/biolearn/data","2019","Homo sapiens","9606",TRUE,"Lu AT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_grimage1_model.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_grimage2_model","Aging omic biomarker predictor coefficients for omniager_grimage2_model","3.22",NA,"CSV","https://github.com/bio-learn/biolearn/tree/master/biolearn/data","2022","Homo sapiens","9606",TRUE,"Lu AT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_grimage2_model.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_hannum_example","Aging omic biomarker predictor coefficients for omniager_hannum_example","3.22",NA,"IDAT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40279","2012","Homo sapiens","9606",TRUE,"NCBI GEO","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_hannum_example.rds","OmniAgeR:Epigenetics:ExampleData"
"omniager_hannum","Aging omic biomarker predictor coefficients for omniager_hannum","3.22",NA,"CSV","https://doi.org/10.1016/j.molcel.2012.10.016","2013","Homo sapiens","9606",TRUE,"Hannum G et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_hannum.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_hepato_xu_coef","Aging omic biomarker predictor coefficients for omniager_hepato_xu_coef","3.22",NA,"TXT","https://doi.org/10.1038/nmat4997","2017","Homo sapiens","9606",TRUE,"Xu Rh et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_hepato_xu_coef.rds","OmniAgeR:Methylation:RiskModel:Biomarker"
"omniager_horvath2013_coef","Aging omic biomarker predictor coefficients for omniager_horvath2013_coef","3.22",NA,"CSV","https://doi.org/10.1186/gb-2013-14-10-r115","2013","Homo sapiens","9606",TRUE,"Horvath S.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_horvath2013_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_horvath2018_coef","Aging omic biomarker predictor coefficients for omniager_horvath2018_coef","3.22",NA,"CSV","https://doi.org/10.18632/aging.101508","2018","Homo sapiens","9606",TRUE,"Horvath S et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_horvath2018_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_hypoclock_cpg","Aging omic biomarker predictor coefficients for omniager_hypoclock_cpg","3.22",NA,"RData","https://github.com/aet21/EpiMitClocks","2020","Homo sapiens","9606",TRUE,"Teschendorff AE.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","character","Rds","https://zenodo.org/records/18832408/files/","omniager_hypoclock_cpg.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_ic_clock_coef","Aging omic biomarker predictor coefficients for omniager_ic_clock_coef","3.22",NA,"XLS/XLSX","https://doi.org/10.1038/s43587-025-00883-5","2025","Homo sapiens","9606",TRUE,"Fuentealba M et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_ic_clock_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_il6_coef","Aging omic biomarker predictor coefficients for omniager_il6_coef","3.22",NA,"TXT","https://doi.org/10.1093/gerona/glab046","2021","Homo sapiens","9606",TRUE,"Stevenson AJ et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_il6_coef.rds","OmniAgeR:Methylation:SurrogateBiomarker"
"omniager_intrin_clock_coef","Aging omic biomarker predictor coefficients for omniager_intrin_clock_coef","3.22",NA,"RData","https://doi.org/10.5281/zenodo.10426597","2024","Homo sapiens","9606",TRUE,"Tomusiak A et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_intrin_clock_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_knight_ga_coef","Aging omic biomarker predictor coefficients for omniager_knight_ga_coef","3.22",NA,"CSV","https://github.com/akknight/PredictGestationalAge","2016","Homo sapiens","9606",TRUE,"Knight AK et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_knight_ga_coef.rds","OmniAgeR:Methylation:GestationalAge:Biomarker"
"omniager_lee_ga_coef","Aging omic biomarker predictor coefficients for omniager_lee_ga_coef","3.22",NA,"CSV","https://doi.org/10.18632/aging.102049","2019","Homo sapiens","9606",TRUE,"Lee Y et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_lee_ga_coef.rds","OmniAgeR:Methylation:GestationalAge:Biomarker"
"omniager_lin_coef","Aging omic biomarker predictor coefficients for omniager_lin_coef","3.22",NA,"CSV","https://doi.org/10.18632/aging.100908","2016","Homo sapiens","9606",TRUE,"Lin Q et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_lin_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_lung_inv","Aging omic biomarker predictor coefficients for omniager_lung_inv","3.22",NA,"RData","https://github.com/aet21/EpiMitClocks","2023","Homo sapiens","9606",TRUE,"Teschendorff AE.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_lung_inv.rds","OmniAgeR:Epigenetics:ExampleData"
"omniager_mayne_ga_coef","Aging omic biomarker predictor coefficients for omniager_mayne_ga_coef","3.22",NA,"XLS/XLSX","https://doi.org/10.2217/epi-2016-0103","2017","Homo sapiens","9606",TRUE,"Mayne BT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_mayne_ga_coef.rds","OmniAgeR:Methylation:GestationalAge:Biomarker"
"omniager_mccartney_trait_coef","Aging omic biomarker predictor coefficients for omniager_mccartney_trait_coef","3.22",NA,"XLS/XLSX","https://doi.org/10.1186/s13059-018-1514-1","2018","Homo sapiens","9606",TRUE,"McCartney DL et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_mccartney_trait_coef.rds","OmniAgeR:Methylation:PhenotypePrediction:Biomarker"
"omniager_pan_mammalian_blood_coef","Aging omic biomarker predictor coefficients for omniager_pan_mammalian_blood_coef","3.22",NA,"CSV","https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0","2023","Mammalia",NA,TRUE,"Lu AT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_pan_mammalian_blood_coef.rds","OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker"
"omniager_pan_mammalian_clock_coef","Aging omic biomarker predictor coefficients for omniager_pan_mammalian_clock_coef","3.22",NA,"CSV","https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0","2023","Mammalia",NA,TRUE,"Lu AT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_pan_mammalian_clock_coef.rds","OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker"
"omniager_pan_mammalian_skin_coef","Aging omic biomarker predictor coefficients for omniager_pan_mammalian_skin_coef","3.22",NA,"CSV","https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0","2023","Mammalia",NA,TRUE,"Lu AT et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_pan_mammalian_skin_coef.rds","OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker"
"omniager_pasta_gene","Aging omic biomarker predictor coefficients for omniager_pasta_gene","3.22",NA,"RData","https://github.com/jsalignon/pasta","2025","Homo sapiens","9606",TRUE,"Salignon J et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","character","Rds","https://zenodo.org/records/18832408/files/","omniager_pasta_gene.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_pedbe_coef","Aging omic biomarker predictor coefficients for omniager_pedbe_coef","3.22",NA,"TXT","https://doi.org/10.1073/pnas.1820843116","2019","Homo sapiens","9606",TRUE,"McEwen LM et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_pedbe_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_phenoage_coef","Aging omic biomarker predictor coefficients for omniager_phenoage_coef","3.22",NA,"CSV","https://doi.org/10.18632/aging.101414","2018","Homo sapiens","9606",TRUE,"Levine ME et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_phenoage_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_pipek_elasticnet_coef","Aging omic biomarker predictor coefficients for omniager_pipek_elasticnet_coef","3.22",NA,"CSV","https://doi.org/10.1007/s10910-022-01381-4","2022","Homo sapiens","9606",TRUE,"Pipek et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_pipek_elasticnet_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_pipek_filteredh_coef","Aging omic biomarker predictor coefficients for omniager_pipek_filteredh_coef","3.22",NA,"CSV","https://doi.org/10.1007/s10910-022-01381-4","2022","Homo sapiens","9606",TRUE,"Pipek et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_pipek_filteredh_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_pipek_retrainedh_coef","Aging omic biomarker predictor coefficients for omniager_pipek_retrainedh_coef","3.22",NA,"CSV","https://doi.org/10.1007/s10910-022-01381-4","2022","Homo sapiens","9606",TRUE,"Pipek et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_pipek_retrainedh_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_replitali_coef","Aging omic biomarker predictor coefficients for omniager_replitali_coef","3.22",NA,"RData","https://github.com/aet21/EpiMitClocks","2022","Homo sapiens","9606",TRUE,"Endicott JL et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","data.frame","Rds","https://zenodo.org/records/18832408/files/","omniager_replitali_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_retroage_coef","Aging omic biomarker predictor coefficients for omniager_retroage_coef","3.22",NA,"XLS/XLSX","https://doi.org/10.1111/acel.14288","2024","Homo sapiens","9606",TRUE,"Ndhlovu LC et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_retroage_coef.rds","OmniAgeR:Methylation:AgingClock:Biomarker"
"omniager_scimmuaging_model","Aging omic biomarker predictor coefficients for omniager_scimmuaging_model","3.22",NA,"RDS","https://github.com/CiiM-Bioinformatics-group/scImmuAging","2025","Homo sapiens","9606",TRUE,"Li W et al.","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","list","Rds","https://zenodo.org/records/18832408/files/","omniager_scimmuaging_model.rds","OmniAgeR:Transcriptomics:AgingClock:Biomarker"
"omniager_seu_gabitto_2024_filtered","Aging omic biomarker predictor coefficients for omniager_seu_gabitto_2024_filtered","3.22",NA,"RDS","https://datasets.cellxgene.cziscience.com/9d53f7bb-dc23-4c05-b2a6-4afa9a6e3be0.rds","2024","Homo sapiens","9606",TRUE,"CELLxGENE","Zhaozhen Du <duzhaozhen2022@sinh.ac.cn>","Seurat","Rds","https://zenodo.org/records/18832408/files/","omniager_seu_gabitto_2024_filtered.rds","OmniAgeR:Transcriptomics:SingleCell:ExampleData"
